Tanggal;Terakhir;Pembukaan;Tertinggi;Terendah;Vol;Perubahan%
08/04/2025;1645;1725;1725;1600;141,03M;-10,84%
27/03/2025;1845;1840;1845;1805;40,78M;0,27%
26/03/2025;1840;1755;1850;1750;58,51M;5,44%
25/03/2025;1745;1725;1745;1710;42,87M;-0,29%
24/03/2025;1750;1790;1790;1700;64,31M;-2,78%
21/03/2025;1800;1800;1805;1745;72,31M;0,00%
20/03/2025;1800;1810;1860;1785;76,90M;0,00%
19/03/2025;1800;1790;1810;1755;58,04M;0,28%
18/03/2025;1795;1815;1820;1680;92,90M;-1,10%
17/03/2025;1815;1810;1825;1765;65,13M;0,28%
14/03/2025;1810;1855;1860;1800;61,85M;-2,95%
13/03/2025;1865;1850;1875;1820;70,32M;0,81%
12/03/2025;1850;1850;1860;1810;69,71M;0,00%
11/03/2025;1850;1910;1910;1825;98,57M;-3,39%
10/03/2025;1915;2030;2050;1900;94,51M;-4,25%
07/03/2025;2000;2050;2060;1990;69,66M;-2,44%
06/03/2025;2050;1960;2070;1960;144,89M;7,89%
05/03/2025;1900;1910;1945;1865;143,03M;-0,52%
04/03/2025;1910;2040;2060;1875;136,83M;-6,83%
03/03/2025;2050;2100;2110;2010;71,98M;-0,97%
28/02/2025;2070;2070;2100;2010;67,35M;0,00%
27/02/2025;2070;2130;2150;2050;42,56M;-1,90%
26/02/2025;2110;2110;2150;2080;34,97M;0,48%
25/02/2025;2100;2180;2190;2080;42,87M;-4,11%
24/02/2025;2190;2180;2220;2150;25,61M;0,46%
21/02/2025;2180;2200;2240;2180;34,83M;-0,91%
20/02/2025;2200;2250;2250;2190;51,77M;-2,22%
19/02/2025;2250;2270;2290;2210;30,93M;-0,44%
18/02/2025;2260;2280;2300;2250;31,55M;-0,88%
17/02/2025;2280;2240;2300;2210;26,59M;1,79%
14/02/2025;2240;2220;2240;2200;25,65M;1,36%
13/02/2025;2210;2240;2250;2190;25,86M;-1,34%
12/02/2025;2240;2150;2260;2140;51,49M;4,19%
11/02/2025;2150;2210;2220;2120;55,58M;-2,71%
10/02/2025;2210;2270;2270;2200;40,51M;-2,64%
07/02/2025;2270;2290;2290;2230;31,79M;-0,87%
06/02/2025;2290;2360;2370;2260;25,00M;-2,97%
05/02/2025;2360;2390;2390;2320;44,62M;1,29%
04/02/2025;2330;2310;2370;2290;40,43M;0,87%
03/02/2025;2310;2320;2330;2260;41,04M;-0,86%
31/01/2025;2330;2310;2340;2290;28,46M;1,30%
30/01/2025;2300;2310;2320;2250;69,36M;0,00%
24/01/2025;2300;2340;2360;2280;49,26M;-1,71%
23/01/2025;2340;2330;2390;2310;89,77M;0,86%
22/01/2025;2320;2330;2350;2320;38,37M;0,43%
21/01/2025;2310;2360;2370;2310;48,62M;-1,70%
20/01/2025;2350;2400;2420;2350;45,51M;-2,08%
17/01/2025;2400;2420;2430;2360;42,75M;-0,41%
16/01/2025;2410;2420;2470;2400;64,93M;0,42%
15/01/2025;2400;2380;2430;2360;64,61M;1,69%
14/01/2025;2360;2380;2420;2360;60,11M;0,43%
13/01/2025;2350;2330;2390;2300;74,77M;1,29%
10/01/2025;2320;2360;2390;2320;62,62M;-0,85%
09/01/2025;2340;2420;2430;2340;45,89M;-2,50%
08/01/2025;2400;2470;2520;2400;61,06M;-2,83%
07/01/2025;2470;2380;2480;2320;67,78M;3,78%
06/01/2025;2380;2470;2480;2380;49,08M;-3,25%
03/01/2025;2460;2530;2580;2450;76,33M;-2,77%
02/01/2025;2530;2440;2540;2430;64,12M;4,12%
30/12/2024;2430;2440;2470;2410;75,09M;-4,33%
27/12/2024;2540;2530;2540;2490;64,25M;1,20%
24/12/2024;2510;2540;2610;2510;70,99M;-1,18%
23/12/2024;2540;2580;2590;2520;49,63M;-0,39%
20/12/2024;2550;2540;2580;2510;65,18M;0,39%
19/12/2024;2540;2570;2580;2520;57,03M;-1,93%
18/12/2024;2590;2590;2630;2540;91,71M;3,19%
17/12/2024;2510;2650;2660;2510;94,63M;-3,46%
16/12/2024;2600;2580;2660;2480;137,74M;0,78%
13/12/2024;2580;2550;2630;2540;110,67M;1,98%
12/12/2024;2530;2610;2660;2510;120,60M;-3,07%
11/12/2024;2610;2730;2770;2610;159,74M;-4,40%
10/12/2024;2730;2700;2880;2620;360,68M;1,87%
09/12/2024;2680;2310;2700;2310;509,28M;16,52%
06/12/2024;2300;2340;2340;2290;152,81M;-1,71%
05/12/2024;2340;2390;2420;2300;179,02M;-0,85%
04/12/2024;2360;2370;2380;2300;135,76M;0,00%
03/12/2024;2360;2330;2430;2280;258,57M;2,16%
02/12/2024;2310;2090;2380;2090;517,88M;11,06%
29/11/2024;2080;2070;2210;2070;1,05B;-24,64%
28/11/2024;2760;2760;2760;2760;20,07M;-24,80%
26/11/2024;3670;3780;3820;3670;283,96M;-2,65%
25/11/2024;3770;3760;3810;3730;192,44M;0,53%
22/11/2024;3750;3680;3750;3640;154,09M;1,90%
21/11/2024;3680;3700;3710;3660;80,54M;-0,27%
20/11/2024;3690;3710;3750;3660;80,25M;-0,54%
19/11/2024;3710;3720;3800;3670;107,03M;0,27%
18/11/2024;3700;3920;3920;3670;267,35M;-5,61%
15/11/2024;3920;3830;3940;3790;83,36M;2,35%
14/11/2024;3830;3940;3950;3830;84,79M;-2,30%
13/11/2024;3920;3950;4010;3870;144,86M;2,62%
12/11/2024;3820;3800;3900;3790;85,75M;2,14%
11/11/2024;3740;3830;3860;3730;99,46M;-2,35%
08/11/2024;3830;3920;3920;3810;90,95M;-2,30%
07/11/2024;3920;3990;4000;3890;96,97M;-2,24%
06/11/2024;4010;4060;4110;3980;113,13M;-0,74%
05/11/2024;4040;4060;4300;4010;438,64M;2,80%
04/11/2024;3930;3840;3940;3840;141,05M;3,69%
01/11/2024;3790;3620;3830;3620;146,06M;4,70%
31/10/2024;3620;3640;3680;3620;53,51M;-0,55%
30/10/2024;3640;3630;3670;3580;36,35M;0,28%
29/10/2024;3630;3700;3700;3620;20,53M;-1,36%
28/10/2024;3680;3690;3730;3650;39,60M;0,55%
25/10/2024;3660;3700;3710;3590;77,71M;-0,54%
24/10/2024;3680;3690;3710;3670;34,08M;-0,27%
23/10/2024;3690;3730;3740;3680;44,72M;-1,07%
22/10/2024;3730;3740;3770;3700;54,86M;-0,27%
21/10/2024;3740;3790;3800;3700;67,41M;-1,06%
18/10/2024;3780;3900;3910;3730;89,68M;-3,08%
17/10/2024;3900;3860;3910;3830;41,86M;1,30%
16/10/2024;3850;3900;3900;3830;106,11M;-0,77%
15/10/2024;3880;3870;3920;3850;52,14M;0,26%
14/10/2024;3870;3870;3910;3860;43,03M;0,00%
11/10/2024;3870;3870;3890;3850;26,34M;1,31%
10/10/2024;3820;3830;3870;3820;57,29M;0,00%
09/10/2024;3820;3820;3840;3760;49,29M;0,53%
08/10/2024;3800;3900;3900;3800;70,10M;-2,31%
07/10/2024;3890;3890;3930;3840;78,47M;2,10%
04/10/2024;3810;3850;3890;3810;42,16M;-0,52%
03/10/2024;3830;3860;3870;3830;28,53M;-1,03%
02/10/2024;3870;3900;3900;3830;51,11M;-1,28%
01/10/2024;3920;3830;3930;3710;131,21M;2,89%
30/09/2024;3810;3910;3930;3810;72,65M;-2,56%
27/09/2024;3910;3780;3940;3740;121,06M;3,44%
26/09/2024;3780;3720;3780;3700;76,55M;2,44%
25/09/2024;3690;3760;3760;3680;75,41M;-1,34%
24/09/2024;3740;3730;3760;3690;111,19M;1,08%
23/09/2024;3700;3720;3740;3690;70,07M;0,27%
20/09/2024;3690;3670;3740;3640;152,24M;0,82%
19/09/2024;3660;3660;3700;3580;127,74M;0,27%
18/09/2024;3650;3760;3780;3640;101,84M;-2,93%
17/09/2024;3760;3670;3780;3570;136,51M;2,45%
13/09/2024;3670;3840;3840;3660;208,79M;-4,68%
12/09/2024;3850;3920;4050;3800;531,57M;9,38%
11/09/2024;3520;3490;3530;3470;81,32M;0,86%
10/09/2024;3490;3490;3560;3440;74,74M;0,00%
09/09/2024;3490;3470;3500;3390;82,18M;0,58%
06/09/2024;3470;3530;3540;3460;45,22M;-2,25%
05/09/2024;3550;3560;3570;3460;64,91M;-0,28%
04/09/2024;3560;3540;3630;3490;73,57M;-1,11%
03/09/2024;3600;3610;3630;3560;45,07M;-0,28%
02/09/2024;3610;3590;3650;3570;96,35M;1,40%
30/08/2024;3560;3540;3590;3510;95,77M;1,14%
29/08/2024;3520;3540;3590;3500;63,22M;-0,28%
28/08/2024;3530;3550;3560;3500;50,93M;0,28%
27/08/2024;3520;3510;3570;3460;66,09M;0,86%
26/08/2024;3490;3490;3500;3430;50,56M;0,58%
23/08/2024;3470;3370;3480;3370;118,01M;3,27%
22/08/2024;3360;3240;3390;3200;113,36M;3,07%
21/08/2024;3260;3280;3300;3240;40,80M;-0,31%
20/08/2024;3270;3280;3290;3240;28,24M;-0,30%
19/08/2024;3280;3270;3300;3240;27,88M;0,00%
16/08/2024;3280;3230;3300;3230;75,45M;2,18%
15/08/2024;3210;3220;3220;3170;35,27M;-0,31%
14/08/2024;3220;3230;3240;3200;32,40M;-0,31%
13/08/2024;3230;3250;3270;3190;57,59M;-0,31%
12/08/2024;3240;3190;3240;3180;55,56M;1,89%
09/08/2024;3180;3210;3220;3150;38,36M;-0,31%
08/08/2024;3190;3210;3230;3160;33,58M;-1,24%
07/08/2024;3230;3210;3270;3200;52,50M;1,57%
06/08/2024;3180;3160;3200;3080;92,35M;2,91%
05/08/2024;3090;3270;3270;3070;136,21M;-6,93%
02/08/2024;3320;3240;3370;3230;72,66M;2,15%
01/08/2024;3250;3220;3250;3170;36,35M;0,93%
31/07/2024;3220;3250;3270;3200;44,87M;-0,31%
30/07/2024;3230;3200;3250;3180;46,60M;1,57%
29/07/2024;3180;3180;3220;3170;27,18M;0,00%
26/07/2024;3180;3150;3190;3130;26,61M;1,60%
25/07/2024;3130;3160;3200;3120;32,06M;-1,26%
24/07/2024;3170;3140;3190;3120;34,90M;1,28%
23/07/2024;3130;3190;3240;3130;33,53M;-1,88%
22/07/2024;3190;3100;3230;3100;67,92M;2,90%
19/07/2024;3100;3040;3150;3040;112,25M;2,31%
18/07/2024;3030;2890;3040;2870;103,27M;4,48%
17/07/2024;2900;2890;2910;2870;30,25M;1,05%
16/07/2024;2870;2900;2900;2850;15,56M;0,00%
15/07/2024;2870;2830;2870;2830;28,32M;1,41%
12/07/2024;2830;2850;2860;2800;33,01M;-1,05%
11/07/2024;2860;2900;2900;2860;14,11M;-1,38%
10/07/2024;2900;2900;2930;2880;15,58M;0,00%
09/07/2024;2900;2910;2920;2880;33,91M;0,00%
08/07/2024;2900;2910;2910;2880;19,29M;-0,34%
05/07/2024;2910;2870;2910;2860;19,04M;1,75%
04/07/2024;2860;2900;2910;2860;21,48M;-1,04%
03/07/2024;2890;2850;2920;2840;37,20M;1,76%
02/07/2024;2840;2800;2860;2800;23,64M;1,43%
01/07/2024;2800;2790;2840;2760;20,22M;0,36%
28/06/2024;2790;2750;2800;2750;29,76M;1,45%
27/06/2024;2750;2750;2780;2720;24,92M;0,00%
26/06/2024;2750;2710;2760;2700;18,96M;1,48%
25/06/2024;2710;2710;2720;2680;17,17M;-0,37%
24/06/2024;2720;2730;2740;2700;15,50M;-0,37%
21/06/2024;2730;2730;2780;2720;43,67M;0,00%
20/06/2024;2730;2690;2730;2660;18,17M;2,63%
19/06/2024;2660;2780;2790;2640;45,62M;-4,32%
14/06/2024;2780;2810;2810;2740;23,15M;0,00%
13/06/2024;2780;2820;2830;2750;23,16M;-0,36%
12/06/2024;2790;2740;2810;2730;41,92M;2,57%
11/06/2024;2720;2750;2770;2720;27,03M;-1,09%
10/06/2024;2750;2840;2850;2710;48,41M;-3,17%
07/06/2024;2840;2850;2890;2820;25,35M;-0,35%
06/06/2024;2850;2880;2880;2820;24,30M;-0,70%
05/06/2024;2870;2900;2910;2840;41,11M;-1,71%
04/06/2024;2920;2900;2940;2850;64,39M;-0,34%
03/06/2024;2930;2800;2930;2800;84,42M;5,78%
31/05/2024;2770;2750;2810;2730;95,44M;1,09%
30/05/2024;2740;2680;2770;2680;47,28M;2,24%
29/05/2024;2680;2690;2710;2660;23,08M;-0,37%
28/05/2024;2690;2600;2710;2600;85,17M;-6,27%
27/05/2024;2870;2920;2940;2860;70,61M;-1,71%
22/05/2024;2920;2900;2920;2850;31,39M;1,39%
21/05/2024;2880;2910;2950;2870;41,19M;-1,03%
20/05/2024;2910;2880;2920;2860;27,29M;1,04%
17/05/2024;2880;2890;2900;2840;28,09M;0,00%
16/05/2024;2880;2840;2890;2840;33,45M;1,77%
15/05/2024;2830;2890;2960;2830;44,48M;-1,74%
14/05/2024;2880;2950;2950;2870;26,63M;-2,37%
13/05/2024;2950;2870;2970;2850;64,34M;2,79%
08/05/2024;2870;2810;2870;2810;43,53M;2,14%
07/05/2024;2810;2850;2860;2790;25,68M;-1,40%
06/05/2024;2850;2760;2850;2730;56,51M;4,40%
03/05/2024;2730;2730;2740;2700;20,54M;0,00%
02/05/2024;2730;2720;2770;2680;49,49M;0,74%
30/04/2024;2710;2680;2740;2650;24,50M;1,50%
29/04/2024;2670;2630;2680;2550;27,69M;2,69%
26/04/2024;2600;2620;2670;2600;28,06M;-0,76%
25/04/2024;2620;2670;2690;2610;32,56M;-2,24%
24/04/2024;2680;2750;2770;2660;39,04M;-2,55%
23/04/2024;2750;2750;2800;2740;19,35M;0,00%
22/04/2024;2750;2770;2800;2750;30,19M;-0,36%
19/04/2024;2760;2740;2790;2710;48,53M;1,10%
18/04/2024;2730;2770;2770;2710;34,87M;-0,73%
17/04/2024;2750;2810;2830;2750;40,04M;-2,14%
16/04/2024;2810;2740;2840;2730;136,39M;4,07%
05/04/2024;2700;2690;2720;2670;15,33M;0,37%
04/04/2024;2690;2670;2720;2650;23,23M;0,37%
