"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"08/04/2025","372,00","375,18","375,18","367,17","1,51B","-9,61%"
"27/03/2025","411,54","407,59","411,54","404,55","1,08B","0,68%"
"26/03/2025","408,77","399,44","411,19","399,44","1,49B","3,10%"
"25/03/2025","396,47","396,48","398,60","392,77","1,48B","0,51%"
"24/03/2025","394,46","406,24","406,62","381,72","1,68B","-2,96%"
"21/03/2025","406,49","413,90","414,29","403,12","2,57B","-1,55%"
"20/03/2025","412,89","407,78","414,14","407,30","1,49B","1,98%"
"19/03/2025","404,89","402,92","407,69","396,07","1,30B","0,98%"
"18/03/2025","400,94","419,17","419,77","384,86","2,28B","-3,95%"
"17/03/2025","417,44","415,43","420,81","415,22","1,32B","1,05%"
"14/03/2025","413,11","422,15","422,15","413,11","1,29B","-1,87%"
"13/03/2025","421,00","423,76","424,86","418,10","1,01B","-0,43%"
"12/03/2025","422,81","417,73","423,12","417,65","1,05B","1,63%"
"11/03/2025","416,03","419,65","421,20","414,60","1,21B","-1,97%"
"10/03/2025","424,40","433,20","433,63","422,82","1,41B","-1,90%"
"07/03/2025","432,63","432,46","438,30","428,82","1,69B","0,40%"
"06/03/2025","430,89","429,52","435,75","429,04","1,84B","0,87%"
"05/03/2025","427,18","416,28","427,18","416,28","1,56B","3,41%"
"04/03/2025","413,11","429,20","429,64","411,55","1,59B","-3,82%"
"03/03/2025","429,54","419,27","433,50","417,21","2,06B","3,70%"
"28/02/2025","414,20","434,74","434,76","410,82","3,68B","-5,00%"
"27/02/2025","436,01","439,78","442,75","431,04","1,33B","-0,80%"
"26/02/2025","439,51","443,41","446,36","434,23","1,22B","-0,43%"
"25/02/2025","441,41","458,58","459,73","440,65","1,21B","-3,80%"
"24/02/2025","458,84","462,86","463,46","456,39","963,78M","-0,90%"
"21/02/2025","463,02","462,75","464,40","458,10","1,20B","0,06%"
"20/02/2025","462,76","461,48","463,98","459,72","3,43B","0,30%"
"19/02/2025","461,36","464,10","464,25","455,60","1,56B","-0,18%"
"18/02/2025","462,19","458,46","462,25","457,44","1,41B","1,12%"
"17/02/2025","457,07","447,86","457,79","446,71","1,26B","2,43%"
"14/02/2025","446,20","442,08","446,33","441,58","1,48B","1,57%"
"13/02/2025","439,30","440,58","441,54","433,78","1,40B","-0,82%"
"12/02/2025","442,92","431,68","442,92","429,79","1,99B","3,28%"
"11/02/2025","428,84","441,73","443,86","427,24","1,32B","-2,58%"
"10/02/2025","440,19","440,21","444,99","434,69","1,30B","-0,40%"
"07/02/2025","441,94","448,30","448,30","437,14","1,12B","-1,94%"
"06/02/2025","450,68","463,49","463,89","447,81","927,55M","-2,26%"
"05/02/2025","461,11","460,56","463,63","458,23","1,49B","0,51%"
"04/02/2025","458,77","453,38","461,46","453,38","1,13B","1,67%"
"03/02/2025","451,24","458,13","458,55","445,27","1,13B","-1,85%"
"31/01/2025","459,74","463,14","466,26","459,74","983,51M","-0,30%"
"30/01/2025","461,14","472,00","472,06","458,80","6,38B","-2,25%"
